xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
4.767;3.63564;3.63564;-5.33052;-5.33051;1.21653e-07;-3.62199e-07;0.032;4.07556e-07;1.29763e-07;3.86346e-07;4;9
4.799;3.4629;3.4629;-5.45733;-5.45733;1.64831e-07;-3.11624e-07;0.032;3.76034e-07;1.7582e-07;3.32399e-07;4;9
4.831;3.28694;3.28694;-5.53129;-5.53129;1.98894e-07;-1.92405e-07;0.032;2.95177e-07;2.12154e-07;2.05232e-07;4;9
4.863;3.1095;3.1095;-5.54939;-5.54939;2.17615e-07;-2.35424e-08;0.032;2.33477e-07;2.32123e-07;2.51119e-08;4;9
4.895;2.93238;2.93238;-5.51089;-5.51089;2.17303e-07;1.60755e-07;0.032;2.88321e-07;2.31789e-07;1.71471e-07;4;9
4.927;2.75739;2.75739;-5.41738;-5.41738;1.97928e-07;3.20928e-07;0.032;4.02191e-07;2.11123e-07;3.42323e-07;4;9
4.959;2.58622;2.58622;-5.27258;-5.27258;1.63141e-07;4.2437e-07;0.032;4.84958e-07;1.74017e-07;4.52661e-07;4;9
4.991;2.42043;2.42043;-5.08201;-5.08201;1.19174e-07;4.5476e-07;0.032;5.01457e-07;1.27119e-07;4.85078e-07;4;9
5.023;2.26139;2.26139;-4.85241;-4.85241;7.30847e-08;4.14747e-07;0.032;4.49213e-07;7.7957e-08;4.42397e-07;4;9
5.055;2.11022;2.11022;-4.59116;-4.59116;3.10505e-08;3.21878e-07;0.032;3.4493e-07;3.31206e-08;3.43336e-07;4;9
5.087;1.96781;1.96781;-4.30573;-4.30573;-2.75918e-09;2.00728e-07;0.032;2.1413e-07;2.94313e-09;2.1411e-07;4;9
5.119;1.83483;1.83483;-4.00319;-4.00319;-2.65171e-08;7.50596e-08;0.032;8.4913e-08;2.82849e-08;8.00636e-08;4;9
5.151;1.71172;1.71172;-3.68988;-3.68988;-4.04159e-08;-3.73543e-08;0.032;5.87034e-08;4.31103e-08;3.98446e-08;4;9
5.183;1.59874;1.59874;-3.37116;-3.37116;-4.59947e-08;-1.26533e-07;0.032;1.43609e-07;4.9061e-08;1.34969e-07;4;9
5.215;1.49598;1.49598;-3.0514;-3.0514;-4.54176e-08;-1.89487e-07;0.032;2.07844e-07;4.84454e-08;2.02119e-07;4;9
5.247;1.40342;1.40342;-2.73389;-2.73389;-4.08987e-08;-2.2812e-07;0.032;2.47208e-07;4.36253e-08;2.43328e-07;4;9
5.279;1.32096;1.32096;-2.42097;-2.42097;-3.4345e-08;-2.46959e-07;0.032;2.65958e-07;3.66347e-08;2.63423e-07;4;9
5.311;1.24842;1.24842;-2.11412;-2.11412;-2.72007e-08;-2.51345e-07;0.032;2.69666e-07;2.90141e-08;2.68101e-07;4;9
5.343;1.18558;1.18558;-1.81408;-1.81408;-2.0433e-08;-2.46293e-07;0.032;2.63615e-07;2.17952e-08;2.62712e-07;4;9
